# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.4.1

perfix.6259woo, string, 800D26385BEC9DB4ECA095EC9AB05D
perfix.andy0414, string, 800D26625BEBB095ECA285ED9B885D
perfix.blro, string, 800D26395BEAB095EAB2BDED839C5D
perfix.bundlebox, string, 800D26335BEAB980ED9884EC9AB05D
perfix.choigod1023, string, 800D26365BEC9EA5ECA480ED98815D
perfix.huuruu3379, string, 800D26615BEBB095EC84A0EC9AB05D
perfix.lyuseolhwa, string, 800D26395BECB59CED9598EC98815D
perfix.ray1203, string, 800D26635BECA095EC9EACED98845D
perfix.re_zin, string, 800D26615BEC9DB4EC9AB0EBA0B95D
perfix.swote, string, 800D26365BEAB68CEB85B8ED98845D
perfix.teeeamkill, string, 800D26625BEBB0A9ECA784ED98815D

